"USER","FRIENDS"
"USER-6228","USER-318"
"USER-6232","USER-136"
"USER-6231","USER-87"
"USER-6233","USER-83"
"USER-6235","USER-3789"
"USER-6234","USER-111"
"USER-6239","USER-6234"
"USER-6238","USER-6237"
"USER-6237","USER-6236"
"USER-6240","USER-3789"
"USER-6243","USER-874"
"USER-6242","USER-2399"
"USER-6241","USER-1695"
"USER-6245","USER-874"
"USER-6244","USER-5289"
"USER-6248","USER-5265"
"USER-6247","USER-2397"
"USER-6246","USER-1178"
"USER-5286","USER-6249"
"USER-6249","USER-3362"
"USER-6251","USER-6252"
"USER-6250","USER-3361"
"USER-6252","USER-64"
"USER-6254","USER-6253"
"USER-6253","USER-458"
"USER-6255","USER-64"
"USER-6230","USER-6232"
"USER-6256","USER-61"
"USER-6259","USER-85"
"USER-6258","USER-1340"
"USER-6257","USER-6258"
"USER-6263","USER-982"
"USER-6262","USER-870"
"USER-6261","USER-4605"
"USER-6260","USER-4604"
"USER-6264","USER-63"
"USER-6265","USER-6261"
"USER-6267","USER-4604"
"USER-6266","USER-6262"
"USER-6269","USER-413"
"USER-6271","USER-61"
"USER-6273","USER-2268"
"USER-6272","USER-68"
"USER-6274","USER-58"
"USER-6275","USER-1449"
"USER-6276","USER-6277"
"USER-6285","USER-6284"
"USER-6284","USER-6283"
"USER-6283","USER-6282"
"USER-6282","USER-6281"
"USER-6281","USER-248"
"USER-6280","USER-6279"
"USER-6279","USER-6278"
"USER-6278","USER-3181"
"USER-6286","USER-6289"
"USER-6289","USER-6288"
"USER-6288","USER-111"
"USER-6290","USER-635"
"USER-5533","USER-142"
"USER-4651","USER-2128"
"USER-6292","USER-5498"
"USER-6295","USER-6294"
"USER-6294","USER-6293"
"USER-6293","USER-2958"
"USER-6296","USER-440"
"USER-6297","USER-442"
"USER-6299","USER-2650"
"USER-6298","USER-68"
"USER-6300","USER-236"
"USER-6301","USER-68"
"USER-6302","USER-1082"
"USER-6303","USER-73"
"USER-6304","USER-601"
"USER-6305","USER-244"
"USER-6306","USER-8"
"USER-6309","USER-6308"
"USER-6308","USER-2461"
"USER-6307","USER-2483"
"USER-6310","USER-226"
"USER-6311","USER-2567"
"USER-6314","USER-6313"
"USER-6313","USER-605"
"USER-6312","USER-3500"
"USER-6315","USER-291"
"USER-6319","USER-6318"
"USER-6318","USER-1223"
"USER-6317","USER-291"
"USER-6316","USER-1025"
"USER-6321","USER-6320"
"USER-6320","USER-2404"
"USER-6322","USER-714"
"USER-6323","USER-1454"
"USER-6324","USER-5823"
"USER-6325","USER-6332"
"USER-6333","USER-6336"
"USER-6332","USER-6331"
"USER-6331","USER-1454"
"USER-6330","USER-6329"
"USER-6329","USER-6335"
"USER-6328","USER-6327"
"USER-6327","USER-1223"
"USER-6326","USER-136"
"USER-6334","USER-6339"
"USER-6339","USER-6338"
"USER-6338","USER-6337"
"USER-6337","USER-6333"
"USER-6336","USER-6329"
"USER-6335","USER-66"
"USER-6340","USER-291"
"USER-6342","USER-6341"
"USER-6341","USER-1454"
"USER-6343","USER-1454"
"USER-6345","USER-1184"
"USER-6344","USER-1173"
"USER-6346","USER-875"
"USER-6347","USER-2821"
"USER-6348","USER-1675"
"USER-6349","USER-1106"
"USER-6350","USER-58"
"USER-6353","USER-159"
"USER-6352","USER-5722"
"USER-6351","USER-2762"
"USER-6354","USER-7"
"USER-6355","USER-848"
"USER-6356","USER-756"
"USER-6359","USER-3603"
"USER-6360","USER-756"
"USER-6357","USER-3188"
"USER-6363","USER-6362"
